Intrinsic name 	Technology 	Header 	Function prototype
_mm_cmpeq_ss 	SSE 	intrin.h 	__m128 _mm_cmpeq_ss(__m128, __m128);
_mm_cmpestra 	SSE42 	intrin.h 	int _mm_cmpestra(__m128i, int, __m128i, int, const int);
_mm_cmpestrc 	SSE42 	intrin.h 	int _mm_cmpestrc(__m128i, int, __m128i, int, const int);
_mm_cmpestri 	SSE42 	intrin.h 	int _mm_cmpestri(__m128i, int, __m128i, int, const int);
_mm_cmpestrm 	SSE42 	intrin.h 	__m128i _mm_cmpestrm(__m128i, int, __m128i, int, const int);
_mm_cmpestro 	SSE42 	intrin.h 	int _mm_cmpestro(__m128i, int, __m128i, int, const int);
_mm_cmpestrs 	SSE42 	intrin.h 	int _mm_cmpestrs(__m128i, int, __m128i, int, const int);
_mm_cmpestrz 	SSE42 	intrin.h 	int _mm_cmpestrz(__m128i, int, __m128i, int, const int);
_mm_cmpge_pd 	SSE2 	intrin.h 	__m128d _mm_cmpge_pd(__m128d, __m128d);
_mm_cmpge_ps 	SSE 	intrin.h 	__m128 _mm_cmpge_ps(__m128, __m128);
_mm_cmpge_sd 	SSE2 	intrin.h 	__m128d _mm_cmpge_sd(__m128d, __m128d);
_mm_cmpge_ss 	SSE 	intrin.h 	__m128 _mm_cmpge_ss(__m128, __m128);
_mm_cmpgt_epi16 	SSE2 	intrin.h 	__m128i _mm_cmpgt_epi16(__m128i, __m128i);
_mm_cmpgt_epi32 	SSE2 	intrin.h 	__m128i _mm_cmpgt_epi32(__m128i, __m128i);
_mm_cmpgt_epi64 	SSE42 	intrin.h 	__m128i _mm_cmpgt_epi64(__m128i, __m128i);
_mm_cmpgt_epi8 	SSE2 	intrin.h 	__m128i _mm_cmpgt_epi8(__m128i, __m128i);
_mm_cmpgt_pi8 	MMX 	mmintrin.h 	__m64 _mm_cmpgt_pi8(__m64, __m64); [Macro]
_mm_cmpgt_pi16 	MMX 	mmintrin.h 	__m64 _mm_cmpgt_pi16(__m64, __m64); [Macro]
_mm_cmpgt_pi32 	MMX 	mmintrin.h 	__m64 _mm_cmpgt_pi32(__m64, __m64); [Macro]
_mm_cmpgt_pd 	SSE2 	intrin.h 	__m128d _mm_cmpgt_pd(__m128d, __m128d);
_mm_cmpgt_ps 	SSE 	intrin.h 	__m128 _mm_cmpgt_ps(__m128, __m128);
_mm_cmpgt_sd 	SSE2 	intrin.h 	__m128d _mm_cmpgt_sd(__m128d, __m128d);
_mm_cmpgt_ss 	SSE 	intrin.h 	__m128 _mm_cmpgt_ss(__m128, __m128);
_mm_cmpistra 	SSE42 	intrin.h 	int _mm_cmpistra(__m128i, __m128i, const int);
_mm_cmpistrc 	SSE42 	intrin.h 	int _mm_cmpistrc(__m128i, __m128i, const int);
_mm_cmpistri 	SSE42 	intrin.h 	int _mm_cmpistri(__m128i, __m128i, const int);
_mm_cmpistrm 	SSE42 	intrin.h 	__m128i _mm_cmpistrm(__m128i, __m128i, const int);
_mm_cmpistro 	SSE42 	intrin.h 	int _mm_cmpistro(__m128i, __m128i, const int);
_mm_cmpistrs 	SSE42 	intrin.h 	int _mm_cmpistrs(__m128i, __m128i, const int);
_mm_cmpistrz 	SSE42 	intrin.h 	int _mm_cmpistrz(__m128i, __m128i, const int);
_mm_cmple_pd 	SSE2 	intrin.h 	__m128d _mm_cmple_pd(__m128d, __m128d);
_mm_cmple_ps 	SSE 	intrin.h 	__m128 _mm_cmple_ps(__m128, __m128);
_mm_cmple_sd 	SSE2 	intrin.h 	__m128d _mm_cmple_sd(__m128d, __m128d);
_mm_cmple_ss 	SSE 	intrin.h 	__m128 _mm_cmple_ss(__m128, __m128);
_mm_cmplt_epi16 	SSE2 	intrin.h 	__m128i _mm_cmplt_epi16(__m128i, __m128i);
_mm_cmplt_epi32 	SSE2 	intrin.h 	__m128i _mm_cmplt_epi32(__m128i, __m128i);
_mm_cmplt_epi8 	SSE2 	intrin.h 	__m128i _mm_cmplt_epi8(__m128i, __m128i);
_mm_cmplt_pd 	SSE2 	intrin.h 	__m128d _mm_cmplt_pd(__m128d, __m128d);
_mm_cmplt_ps 	SSE 	intrin.h 	__m128 _mm_cmplt_ps(__m128, __m128);
_mm_cmplt_sd 	SSE2 	intrin.h 	__m128d _mm_cmplt_sd(__m128d, __m128d);
_mm_cmplt_ss 	SSE 	intrin.h 	__m128 _mm_cmplt_ss(__m128, __m128);
_mm_cmpneq_pd 	SSE2 	intrin.h 	__m128d _mm_cmpneq_pd(__m128d, __m128d);
_mm_cmpneq_ps 	SSE 	intrin.h 	__m128 _mm_cmpneq_ps(__m128, __m128);
_mm_cmpneq_sd 	SSE2 	intrin.h 	__m128d _mm_cmpneq_sd(__m128d, __m128d);
_mm_cmpneq_ss 	SSE 	intrin.h 	__m128 _mm_cmpneq_ss(__m128, __m128);
_mm_cmpnge_pd 	SSE2 	intrin.h 	__m128d _mm_cmpnge_pd(__m128d, __m128d);
_mm_cmpnge_ps 	SSE 	intrin.h 	__m128 _mm_cmpnge_ps(__m128, __m128);
_mm_cmpnge_sd 	SSE2 	intrin.h 	__m128d _mm_cmpnge_sd(__m128d, __m128d);
_mm_cmpnge_ss 	SSE 	intrin.h 	__m128 _mm_cmpnge_ss(__m128, __m128);
_mm_cmpngt_pd 	SSE2 	intrin.h 	__m128d _mm_cmpngt_pd(__m128d, __m128d);
_mm_cmpngt_ps 	SSE 	intrin.h 	__m128 _mm_cmpngt_ps(__m128, __m128);
_mm_cmpngt_sd 	SSE2 	intrin.h 	__m128d _mm_cmpngt_sd(__m128d, __m128d);
_mm_cmpngt_ss 	SSE 	intrin.h 	__m128 _mm_cmpngt_ss(__m128, __m128);
_mm_cmpnle_pd 	SSE2 	intrin.h 	__m128d _mm_cmpnle_pd(__m128d, __m128d);
_mm_cmpnle_ps 	SSE 	intrin.h 	__m128 _mm_cmpnle_ps(__m128, __m128);
_mm_cmpnle_sd 	SSE2 	intrin.h 	__m128d _mm_cmpnle_sd(__m128d, __m128d);
_mm_cmpnle_ss 	SSE 	intrin.h 	__m128 _mm_cmpnle_ss(__m128, __m128);
_mm_cmpnlt_pd 	SSE2 	intrin.h 	__m128d _mm_cmpnlt_pd(__m128d, __m128d);
_mm_cmpnlt_ps 	SSE 	intrin.h 	__m128 _mm_cmpnlt_ps(__m128, __m128);
_mm_cmpnlt_sd 	SSE2 	intrin.h 	__m128d _mm_cmpnlt_sd(__m128d, __m128d);
_mm_cmpnlt_ss 	SSE 	intrin.h 	__m128 _mm_cmpnlt_ss(__m128, __m128);
_mm_cmpord_pd 	SSE2 	intrin.h 	__m128d _mm_cmpord_pd(__m128d, __m128d);
_mm_cmpord_ps 	SSE 	intrin.h 	__m128 _mm_cmpord_ps(__m128, __m128);
_mm_cmpord_sd 	SSE2 	intrin.h 	__m128d _mm_cmpord_sd(__m128d, __m128d);
_mm_cmpord_ss 	SSE 	intrin.h 	__m128 _mm_cmpord_ss(__m128, __m128);
_mm_cmpunord_pd 	SSE2 	intrin.h 	__m128d _mm_cmpunord_pd(__m128d, __m128d);
_mm_cmpunord_ps 	SSE 	intrin.h 	__m128 _mm_cmpunord_ps(__m128, __m128);
_mm_cmpunord_sd 	SSE2 	intrin.h 	__m128d _mm_cmpunord_sd(__m128d, __m128d);
_mm_cmpunord_ss 	SSE 	intrin.h 	__m128 _mm_cmpunord_ss(__m128, __m128);
_mm_com_epi16 	XOP 	ammintrin.h 	__m128i _mm_com_epi16(__m128i, __m128i, int);
_mm_com_epi32 	XOP 	ammintrin.h 	__m128i _mm_com_epi32(__m128i, __m128i, int);
_mm_com_epi64 	XOP 	ammintrin.h 	__m128i _mm_com_epi32(__m128i, __m128i, int);
_mm_com_epi8 	XOP 	ammintrin.h 	__m128i _mm_com_epi8(__m128i, __m128i, int);
_mm_com_epu16 	XOP 	ammintrin.h 	__m128i _mm_com_epu16(__m128i, __m128i, int);
_mm_com_epu32 	XOP 	ammintrin.h 	__m128i _mm_com_epu32(__m128i, __m128i, int);
_mm_com_epu64 	XOP 	ammintrin.h 	__m128i _mm_com_epu32(__m128i, __m128i, int);
_mm_com_epu8 	XOP 	ammintrin.h 	__m128i _mm_com_epu8(__m128i, __m128i, int);
_mm_comieq_sd 	SSE2 	intrin.h 	int _mm_comieq_sd(__m128d, __m128d);
_mm_comieq_ss 	SSE 	intrin.h 	int _mm_comieq_ss(__m128, __m128);
_mm_comige_sd 	SSE2 	intrin.h 	int _mm_comige_sd(__m128d, __m128d);
_mm_comige_ss 	SSE 	intrin.h 	int _mm_comige_ss(__m128, __m128);
_mm_comigt_sd 	SSE2 	intrin.h 	int _mm_comigt_sd(__m128d, __m128d);
_mm_comigt_ss 	SSE 	intrin.h 	int _mm_comigt_ss(__m128, __m128);
_mm_comile_sd 	SSE2 	intrin.h 	int _mm_comile_sd(__m128d, __m128d);
_mm_comile_ss 	SSE 	intrin.h 	int _mm_comile_ss(__m128, __m128);
_mm_comilt_sd 	SSE2 	intrin.h 	int _mm_comilt_sd(__m128d, __m128d);
_mm_comilt_ss 	SSE 	intrin.h 	int _mm_comilt_ss(__m128, __m128);
_mm_comineq_sd 	SSE2 	intrin.h 	int _mm_comineq_sd(__m128d, __m128d);
_mm_comineq_ss 	SSE 	intrin.h 	int _mm_comineq_ss(__m128, __m128);
_mm_crc32_u16 	SSE42 	intrin.h 	unsigned int _mm_crc32_u16(unsigned int, unsigned short);
_mm_crc32_u32 	SSE42 	intrin.h 	unsigned int _mm_crc32_u32(unsigned int, unsigned int);
_mm_crc32_u8 	SSE42 	intrin.h 	unsigned int _mm_crc32_u8(unsigned int, unsigned char);
_mm_cvt_pi2ps 	SSE 	intrin.h 	__m128 _mm_cvt_pi2ps(__m128, __m64);
_mm_cvt_ps2pi 	SSE 	intrin.h 	__m64 _mm_cvt_ps2pi(__m128);
_mm_cvt_si2ss 	SSE 	intrin.h 	__m128 _mm_cvt_si2ss(__m128, int);
_mm_cvt_ss2si 	SSE 	intrin.h 	int _mm_cvt_ss2si(__m128);
_mm_cvtepi16_epi32 	SSE41 	intrin.h 	__m128i _mm_cvtepi16_epi32(__m128i);
_mm_cvtepi16_epi64 	SSE41 	intrin.h 	__m128i _mm_cvtepi16_epi64(__m128i);
_mm_cvtepi32_epi64 	SSE41 	intrin.h 	__m128i _mm_cvtepi32_epi64(__m128i);
_mm_cvtepi32_pd 	SSE2 	intrin.h 	__m128d _mm_cvtepi32_pd(__m128i);
_mm_cvtepi32_ps 	SSE2 	intrin.h 	__m128 _mm_cvtepi32_ps(__m128i);
_mm_cvtepi8_epi16 	SSE41 	intrin.h 	__m128i _mm_cvtepi8_epi16 (__m128i);
_mm_cvtepi8_epi32 	SSE41 	intrin.h 	__m128i _mm_cvtepi8_epi32 (__m128i);
_mm_cvtepi8_epi64 	SSE41 	intrin.h 	__m128i _mm_cvtepi8_epi64 (__m128i);
_mm_cvtepu16_epi32 	SSE41 	intrin.h 	__m128i _mm_cvtepu16_epi32(__m128i);
_mm_cvtepu16_epi64 	SSE41 	intrin.h 	__m128i _mm_cvtepu16_epi64(__m128i);
_mm_cvtepu32_epi64 	SSE41 	intrin.h 	__m128i _mm_cvtepu32_epi64(__m128i);
_mm_cvtepu8_epi16 	SSE41 	intrin.h 	__m128i _mm_cvtepu8_epi16 (__m128i);
_mm_cvtepu8_epi32 	SSE41 	intrin.h 	__m128i _mm_cvtepu8_epi32 (__m128i);
_mm_cvtepu8_epi64 	SSE41 	intrin.h 	__m128i _mm_cvtepu8_epi64 (__m128i);
_mm_cvtpd_epi32 	SSE2 	intrin.h 	__m128i _mm_cvtpd_epi32(__m128d);
_mm_cvtpd_pi32 	SSE2 	intrin.h 	__m64 _mm_cvtpd_pi32(__m128d);
_mm_cvtpd_ps 	SSE2 	intrin.h 	__m128 _mm_cvtpd_ps(__m128d);
_mm_cvtph_ps 	F16C 	immintrin.h 	__m128 _mm_cvtph_ps(__m128i);
_mm_cvtpi32_pd 	SSE2 	intrin.h 	__m128d _mm_cvtpi32_pd(__m64);
_mm_cvtps_epi32 	SSE2 	intrin.h 	__m128i _mm_cvtps_epi32(__m128);
_mm_cvtps_pd 	SSE2 	intrin.h 	__m128d _mm_cvtps_pd(__m128);
_mm_cvtps_ph 	F16C 	immintrin.h 	__m128i _mm_cvtps_ph(__m128, const int);
_mm_cvtsd_f64 	SSSE3 	intrin.h 	double _mm_cvtsd_f64(__m128d);
_mm_cvtsd_si32 	SSE2 	intrin.h 	int _mm_cvtsd_si32(__m128d);
_mm_cvtsd_ss 	SSE2 	intrin.h 	__m128 _mm_cvtsd_ss(__m128, __m128d);
_mm_cvtsi128_si32 	SSE2 	intrin.h 	int _mm_cvtsi128_si32(__m128i);
_mm_cvtsi32_sd 	SSE2 	intrin.h 	__m128d _mm_cvtsi32_sd(__m128d, int);
_mm_cvtsi32_si128 	SSE2 	intrin.h 	__m128i _mm_cvtsi32_si128(int);
_mm_cvtsi32_si64 	MMX 	mmintrin.h 	__m64 _mm_cvtsi32_si64(int); [Macro]
_mm_cvtsi64_si32 	MMX 	mmintrin.h 	int _mm_cvtsi64_si32 (__m64); [Macro]
_mm_cvtss_f32 	SSSE3 	intrin.h 	float _mm_cvtss_f32(__m128);
_mm_cvtss_sd 	SSE2 	intrin.h 	__m128d _mm_cvtss_sd(__m128d, __m128);
_mm_cvtt_ps2pi 	SSE 	intrin.h 	__m64 _mm_cvtt_ps2pi(__m128);
_mm_cvtt_ss2si 	SSE 	intrin.h 	int _mm_cvtt_ss2si(__m128);
_mm_cvttpd_epi32 	SSE2 	intrin.h 	__m128i _mm_cvttpd_epi32(__m128d);
_mm_cvttpd_pi32 	SSE2 	intrin.h 	__m64 _mm_cvttpd_pi32(__m128d);
_mm_cvttps_epi32 	SSE2 	intrin.h 	__m128i _mm_cvttps_epi32(__m128);
_mm_cvttsd_si32 	SSE2 	intrin.h 	int _mm_cvttsd_si32(__m128d);
_mm_div_pd 	SSE2 	intrin.h 	__m128d _mm_div_pd(__m128d, __m128d);
_mm_div_ps 	SSE 	intrin.h 	__m128 _mm_div_ps(__m128, __m128);
_mm_div_sd 	SSE2 	intrin.h 	__m128d _mm_div_sd(__m128d, __m128d);
_mm_div_ss 	SSE 	intrin.h 	__m128 _mm_div_ss(__m128, __m128);
_mm_dp_pd 	SSE41 	intrin.h 	__m128d _mm_dp_pd(__m128d, __m128d, const int);
_mm_dp_ps 	SSE41 	intrin.h 	__m128 _mm_dp_ps(__m128, __m128, const int);
_mm_empty 	MMX 	mmintrin.h 	void _mm_empty (void); [Macro]
_mm_extract_epi16 	SSE2 	intrin.h 	int _mm_extract_epi16(__m128i, int);
_mm_extract_epi32 	SSE41 	intrin.h 	int _mm_extract_epi32(__m128i, const int);
_mm_extract_epi8 	SSE41 	intrin.h 	int _mm_extract_epi8 (__m128i, const int);
_mm_extract_ps 	SSE41 	intrin.h 	int _mm_extract_ps(__m128, const int);
_mm_extract_si64 	SSE4a 	intrin.h 	__m128i _mm_extract_si64(__m128i, __m128i);
_mm_extracti_si64 	SSE4a 	intrin.h 	__m128i _mm_extracti_si64(__m128i, int, int);
_mm_fmadd_pd 	FMA 	immintrin.h 	__m128d _mm_fmadd_pd (__m128d, __m128d, __m128d);
_mm_fmadd_ps 	FMA 	immintrin.h 	__m128 _mm_fmadd_ps (__m128, __m128, __m128);
_mm_fmadd_sd 	FMA 	immintrin.h 	__m128d _mm_fmadd_sd (__m128d, __m128d, __m128d);
_mm_fmadd_ss 	FMA 	immintrin.h 	__m128 _mm_fmadd_ss (__m128, __m128, __m128);
_mm_fmaddsub_pd 	FMA 	immintrin.h 	__m128d _mm_fmaddsub_pd (__m128d, __m128d, __m128d);
_mm_fmaddsub_ps 	FMA 	immintrin.h 	__m128 _mm_fmaddsub_ps (__m128, __m128, __m128);
_mm_fmsub_pd 	FMA 	immintrin.h 	__m128d _mm_fmsub_pd (__m128d, __m128d, __m128d);
_mm_fmsub_ps 	FMA 	immintrin.h 	__m128 _mm_fmsub_ps (__m128, __m128, __m128);
_mm_fmsub_sd 	FMA 	immintrin.h 	__m128d _mm_fmsub_sd (__m128d, __m128d, __m128d);
_mm_fmsub_ss 	FMA 	immintrin.h 	__m128 _mm_fmsub_ss (__m128, __m128, __m128);
_mm_fmsubadd_pd 	FMA 	immintrin.h 	__m128d _mm_fmsubadd_pd (__m128d, __m128d, __m128d);
_mm_fmsubadd_ps 	FMA 	immintrin.h 	__m128 _mm_fmsubadd_ps (__m128, __m128, __m128);
_mm_fnmadd_pd 	FMA 	immintrin.h 	__m128d _mm_fnmadd_pd (__m128d, __m128d, __m128d);
_mm_fnmadd_ps 	FMA 	immintrin.h 	__m128 _mm_fnmadd_ps (__m128, __m128, __m128);
_mm_fnmadd_sd 	FMA 	immintrin.h 	__m128d _mm_fnmadd_sd (__m128d, __m128d, __m128d);
_mm_fnmadd_ss 	FMA 	immintrin.h 	__m128 _mm_fnmadd_ss (__m128, __m128, __m128);
_mm_fnmsub_pd 	FMA 	immintrin.h 	__m128d _mm_fnmsub_pd (__m128d, __m128d, __m128d);
_mm_fnmsub_ps 	FMA 	immintrin.h 	__m128 _mm_fnmsub_ps (__m128, __m128, __m128);
_mm_fnmsub_sd 	FMA 	immintrin.h 	__m128d _mm_fnmsub_sd (__m128d, __m128d, __m128d);
_mm_fnmsub_ss 	FMA 	immintrin.h 	__m128 _mm_fnmsub_ss (__m128, __m128, __m128);
_mm_frcz_pd 	XOP 	ammintrin.h 	__m128d _mm_frcz_pd(__m128d);
_mm_frcz_ps 	XOP 	ammintrin.h 	__m128 _mm_frcz_ps(__m128);
_mm_frcz_sd 	XOP 	ammintrin.h 	__m128d _mm_frcz_sd(__m128d, __m128d);
_mm_frcz_ss 	XOP 	ammintrin.h 	__m128 _mm_frcz_ss(__m128, __m128);
_mm_getcsr 	SSE 	intrin.h 	unsigned int _mm_getcsr(void);
_mm_hadd_epi16 	SSSE3 	intrin.h 	__m128i _mm_hadd_epi16(__m128i, __m128i);
_mm_hadd_epi32 	SSSE3 	intrin.h 	__m128i _mm_hadd_epi32(__m128i, __m128i);
_mm_hadd_pd 	SSE3 	intrin.h 	__m128d _mm_hadd_pd(__m128d, __m128d);
_mm_hadd_pi16 	SSSE3 	intrin.h 	__m64 _mm_hadd_pi16(__m64, __m64);
_mm_hadd_pi32 	SSSE3 	intrin.h 	__m64 _mm_hadd_pi32(__m64, __m64);
_mm_hadd_ps 	SSE3 	intrin.h 	__m128 _mm_hadd_ps(__m128, __m128);
_mm_haddd_epi16 	XOP 	ammintrin.h 	__m128i _mm_haddd_epi16(__m128i);
_mm_haddd_epi8 	XOP 	ammintrin.h 	__m128i _mm_haddd_epi8(__m128i);
_mm_haddd_epu16 	XOP 	ammintrin.h 	__m128i _mm_haddd_epu16(__m128i);
_mm_haddd_epu8 	XOP 	ammintrin.h 	__m128i _mm_haddd_epu8(__m128i);
_mm_haddq_epi16 	XOP 	ammintrin.h 	__m128i _mm_haddq_epi16(__m128i);
_mm_haddq_epi32 	XOP 	ammintrin.h 	__m128i _mm_haddq_epi32(__m128i);
_mm_haddq_epi8 	XOP 	ammintrin.h 	__m128i _mm_haddq_epi8(__m128i);
_mm_haddq_epu16 	XOP 	ammintrin.h 	__m128i _mm_haddq_epu16(__m128i);
_mm_haddq_epu32 	XOP 	ammintrin.h 	__m128i _mm_haddq_epu32(__m128i);
_mm_haddq_epu8 	XOP 	ammintrin.h 	__m128i _mm_haddq_epu8(__m128i);
_mm_hadds_epi16 	SSSE3 	intrin.h 	__m128i _mm_hadds_epi16(__m128i, __m128i);
_mm_hadds_pi16 	SSSE3 	intrin.h 	__m64 _mm_hadds_pi16(__m64, __m64);
_mm_haddw_epi8 	XOP 	ammintrin.h 	__m128i _mm_haddw_epi8(__m128i);
_mm_haddw_epu8 	XOP 	ammintrin.h 	__m128i _mm_haddw_epu8(__m128i);
_mm_hsub_epi16 	SSSE3 	intrin.h 	__m128i _mm_hsub_epi16(__m128i, __m128i);
_mm_hsub_epi32 	SSSE3 	intrin.h 	__m128i _mm_hsub_epi32(__m128i, __m128i);
_mm_hsub_pd 	SSE3 	intrin.h 	__m128d _mm_hsub_pd(__m128d, __m128d);
_mm_hsub_pi16 	SSSE3 	intrin.h 	__m64 _mm_hsub_pi16(__m64, __m64);
_mm_hsub_pi32 	SSSE3 	intrin.h 	__m64 _mm_hsub_pi32(__m64, __m64);
_mm_hsub_ps 	SSE3 	intrin.h 	__m128 _mm_hsub_ps(__m128, __m128);
_mm_hsubd_epi16 	XOP 	ammintrin.h 	__m128i _mm_hsubd_epi16(__m128i);
_mm_hsubq_epi32 	XOP 	ammintrin.h 	__m128i _mm_hsubq_epi32(__m128i);
_mm_hsubs_epi16 	SSSE3 	intrin.h 	__m128i _mm_hsubs_epi16(__m128i, __m128i);
_mm_hsubs_pi16 	SSSE3 	intrin.h 	__m64 _mm_hsubs_pi16(__m64, __m64);
_mm_hsubw_epi8 	XOP 	ammintrin.h 	__m128i _mm_hsubw_epi8(__m128i);
_mm_i32gather_epi32 	AVX2 	immintrin.h 	__m128i _mm_i32gather_epi32(int const *, __m128i, const int);
_mm_i32gather_epi64 	AVX2 	immintrin.h 	__m128i _mm_i32gather_epi64(__int64 const *, __m128i, const int);
_mm_i32gather_pd 	AVX2 	immintrin.h 	__m128d _mm_i32gather_pd(double const *, __m128i, const int);
_mm_i32gather_ps 	AVX2 	immintrin.h 	__m128 _mm_i32gather_ps(float const *, __m128i, const int);
_mm_i64gather_epi32 	AVX2 	immintrin.h 	__m128i _mm_i64gather_epi32(int const *, __m128i, const int);
_mm_i64gather_epi64 	AVX2 	immintrin.h 	__m128i _mm_i64gather_epi64(__int64 const *, __m128i, const int);
_mm_i64gather_pd 	AVX2 	immintrin.h 	__m128d _mm_i64gather_pd(double const *, __m128i, const int);
_mm_i64gather_ps 	AVX2 	immintrin.h 	__m128 _mm_i64gather_ps(float const *, __m128i, const int);
_mm_insert_epi16 	SSE2 	intrin.h 	__m128i _mm_insert_epi16(__m128i, int, int);
_mm_insert_epi32 	SSE41 	intrin.h 	__m128i _mm_insert_epi32(__m128i, int, const int);
_mm_insert_epi8 	SSE41 	intrin.h 	__m128i _mm_insert_epi8 (__m128i, int, const int);
_mm_insert_ps 	SSE41 	intrin.h 	__m128 _mm_insert_ps(__m128, __m128, const int);
_mm_insert_si64 	SSE4a 	intrin.h 	__m128i _mm_insert_si64(__m128i, __m128i);
_mm_inserti_si64 	SSE4a 	intrin.h 	__m128i _mm_inserti_si64(__m128i, __m128i, int, int);
_mm_lddqu_si128 	SSE3 	intrin.h 	__m128i _mm_lddqu_si128(__m128i const*);
_mm_lfence 	SSE2 	intrin.h 	void _mm_lfence(void);
_mm_load_pd 	SSE2 	intrin.h 	__m128d _mm_load_pd(double*);
_mm_load_ps 	SSE 	intrin.h 	__m128 _mm_load_ps(float*);
_mm_load_ps1 	SSE 	intrin.h 	__m128 _mm_load_ps1(float*);
_mm_load_sd 	SSE2 	intrin.h 	__m128d _mm_load_sd(double*);
_mm_load_si128 	SSE2 	intrin.h 	__m128i _mm_load_si128(__m128i*);
_mm_load_ss 	SSE 	intrin.h 	__m128 _mm_load_ss(float*);
_mm_load1_pd 	SSE2 	intrin.h 	__m128d _mm_load1_pd(double*);
_mm_loaddup_pd 	SSE3 	intrin.h 	__m128d _mm_loaddup_pd(double const*);
_mm_loadh_pd 	SSE2 	intrin.h 	__m128d _mm_loadh_pd(__m128d, double*);
_mm_loadh_pi 	SSE 	intrin.h 	__m128 _mm_loadh_pi(__m128, __m64*);
_mm_loadl_epi64 	SSE2 	intrin.h 	__m128i _mm_loadl_epi64(__m128i*);
_mm_loadl_pd 	SSE2 	intrin.h 	__m128d _mm_loadl_pd(__m128d, double*);
_mm_loadl_pi 	SSE 	intrin.h 	__m128 _mm_loadl_pi(__m128, __m64*);
_mm_loadr_pd 	SSE2 	intrin.h 	__m128d _mm_loadr_pd(double*);
_mm_loadr_ps 	SSE 	intrin.h 	__m128 _mm_loadr_ps(float*);
_mm_loadu_pd 	SSE2 	intrin.h 	__m128d _mm_loadu_pd(double*);
_mm_loadu_ps 	SSE 	intrin.h 	__m128 _mm_loadu_ps(float*);
_mm_loadu_si128 	SSE2 	intrin.h 	__m128i _mm_loadu_si128(__m128i*);
_mm_macc_epi16 	XOP 	ammintrin.h 	__m128i _mm_macc_epi16(__m128i, __m128i, __m128i);
_mm_macc_epi32 	XOP 	ammintrin.h 	__m128i _mm_macc_epi32(__m128i, __m128i, __m128i);
_mm_macc_pd 	FMA4 	ammintrin.h 	__m128d _mm_macc_pd(__m128d, __m128d, __m128d);
_mm_macc_ps 	FMA4 	ammintrin.h 	__m128 _mm_macc_ps(__m128, __m128, __m128);
_mm_macc_sd 	FMA4 	ammintrin.h 	__m128d _mm_macc_sd(__m128d, __m128d, __m128d);
_mm_macc_ss 	FMA4 	ammintrin.h 	__m128 _mm_macc_ss(__m128, __m128, __m128);
_mm_maccd_epi16 	XOP 	ammintrin.h 	__m128i _mm_maccd_epi16(__m128i, __m128i, __m128i);
_mm_macchi_epi32 	XOP 	ammintrin.h 	__m128i _mm_macchi_epi32(__m128i, __m128i, __m128i);
_mm_macclo_epi32 	XOP 	ammintrin.h 	__m128i _mm_macclo_epi32(__m128i, __m128i, __m128i);
_mm_maccs_epi16 	XOP 	ammintrin.h 	__m128i _mm_maccs_epi16(__m128i, __m128i, __m128i);
_mm_maccs_epi32 	XOP 	ammintrin.h 	__m128i _mm_maccs_epi32(__m128i, __m128i, __m128i);
_mm_maccsd_epi16 	XOP 	ammintrin.h 	__m128i _mm_maccsd_epi16(__m128i, __m128i, __m128i);
_mm_maccshi_epi32 	XOP 	ammintrin.h 	__m128i _mm_maccshi_epi32(__m128i, __m128i, __m128i);
_mm_maccslo_epi32 	XOP 	ammintrin.h 	__m128i _mm_maccslo_epi32(__m128i, __m128i, __m128i);
_mm_madd_epi16 	SSE2 	intrin.h 	__m128i _mm_madd_epi16(__m128i, __m128i);
_mm_madd_pi16 	MMX 	mmintrin.h 	__m64 _mm_madd_pi16(__m64, __m64); [Macro]
_mm_maddd_epi16 	XOP 	ammintrin.h 	__m128i _mm_maddd_epi16(__m128i, __m128i, __m128i);
_mm_maddsd_epi16 	XOP 	ammintrin.h 	__m128i _mm_maddsd_epi16(__m128i, __m128i, __m128i);
_mm_maddsub_pd 	FMA4 	ammintrin.h 	__m128d _mm_maddsub_pd(__m128d, __m128d, __m128d);
_mm_maddsub_ps 	FMA4 	ammintrin.h 	__m128 _mm_maddsub_ps(__m128, __m128, __m128);
_mm_maddubs_epi16 	SSSE3 	intrin.h 	__m128i _mm_maddubs_epi16(__m128i, __m128i);
_mm_maddubs_pi16 	SSSE3 	intrin.h 	__m64 _mm_maddubs_pi16(__m64, __m64);
_mm_mask_i32gather_epi32 	AVX2 	immintrin.h 	__m128i _mm_mask_i32gather_epi32(__m128i, int const *, __m128i, __m128i, const int);
_mm_mask_i32gather_epi64 	AVX2 	immintrin.h 	__m128i _mm_mask_i32gather_epi64(__m128i, __int64 const *, __m128i, __m128i, const int);
_mm_mask_i32gather_pd 	AVX2 	immintrin.h 	__m128d _mm_mask_i32gather_pd(__m128d, double const *, __m128i, __m128d, const int);
_mm_mask_i32gather_ps 	AVX2 	immintrin.h 	__m128 _mm_mask_i32gather_ps(__m128, float const *, __m128i, __m128, const int);
_mm_mask_i64gather_epi32 	AVX2 	immintrin.h 	__m128i _mm_mask_i64gather_epi32(__m128i, int const *, __m128i, __m128i, const int);
_mm_mask_i64gather_epi64 	AVX2 	immintrin.h 	__m128i _mm_mask_i64gather_epi64(__m128i, __int64 const *, __m128i, __m128i, const int);
